Freight Flows,Corridor,Lat,Long,Grouping,Daily $M,Daily Tons,AM Peak (7:00-8:59am) $K,AM Peak (7:00-8:59am) Tons,MD 1HR (1:00-1:59pm) $K,MD 1HR (1:00-1:59pm) Tons,PM Peak (4:00-5:59pm) $K,PM Peak (4:00-5:59pm) Tons,Daily $M (2020),Daily Tons (2020),Daily $M (Net Change 2020 to 2045),Daily Tons (Net Change 2020 to 2045),Daily $M (Growth 2020 to 2045),Daily Tons (Growth 2020 to 2045),Daily $M (Decrease 2020 to 2045),Daily Tons (Decrease 2020 to 2045)
Lombard St NB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Misc manufactured,0.337,54,36.733,6,0,0,0,0,0.075,13,0.262,41,0.262,41,0,0
Lombard St NB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Motor Vehicles, etc.",3.149,228,782.599,57,269.512,20,110.552,8,1.83,119,1.319,109,1.319,109,0,0
Lombard St NB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Wood, Paper, etc.",0.135,255,54.267,102,2.137,4,0.444,1,0.035,66,0.1,189,0.1,189,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Agriculture,0.444,966,158.066,344,56.128,122,6.749,15,0.25,560,0.194,406,0.194,406,0,0
Lombard St SB Terminal 4,Rivergate to I-5,456.05478,-1227.65716,All Goods,32.231,14437,10329.941,4865,1459.966,677,743.494,262,19.175,9585,13.056,4852,13.056,4852,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Chemical,4.313,7340,1486.41,2530,158.162,269,53.113,90,2.773,4890,1.54,2450,1.54,2450,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Coal, Oil, Waste, etc.",0.925,1813,369.733,725,45.323,89,17.801,35,0.741,1394,0.184,419,0.184,419,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Electronics,1.941,69,496.491,18,193.835,7,11.243,0,0.637,32,1.304,37,1.304,37,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Food,0.645,395,151.062,93,22.848,14,11.253,7,0.564,341,0.081,54,0.081,54,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Gravel, Sand, etc.",0.002,138,0.669,50,0.143,11,0.143,11,0.002,166,0,-28,0,0,0,28
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Machinery,11.267,2402,3445.504,735,328.744,70,319.365,68,3.817,1234,7.45,1168,7.45,1168,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,Misc manufactured,0.917,146,125.187,20,3.587,1,37.627,6,0.718,129,0.199,17,0.199,17,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Motor Vehicles, etc.",11.604,840,4066.757,295,624.885,45,280.942,20,9.554,619,2.05,221,2.05,221,0,0
Lombard St SB Terminal 4,Rivergate to I-5,45.605478,-122.765716,"Wood, Paper, etc.",0.173,326,30.063,57,26.311,50,5.257,10,0.117,220,0.056,106,0.056,106,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Agriculture,6.26,13623,1431.99,3116,343.765,748,199.686,435,2.179,4880,4.081,8743,4.081,8743,0,0
Marine Drive EB I-5,Rivergate to I-5,456.0615,-1226.846,All Goods,47.803,29158,8876.169,6226,2416.106,1543,1585.983,1069,21.785,16302,26.018,12856,26.018,12856,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Chemical,0.218,371,31.102,53,4.468,8,9.579,16,0.221,389,-0.003,-18,0,0,0.003,18
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,"Coal, Oil, Waste, etc.",2.169,4252,446.572,875,127.193,249,126.95,249,1.89,3553,0.279,699,0.279,699,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Electronics,8.891,315,931.207,33,396.491,14,99.376,4,3.486,177,5.405,138,5.405,138,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Food,9.577,5868,1750.482,1073,595.274,365,342.571,210,5.388,3255,4.189,2613,4.189,2613,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,"Gravel, Sand, etc.",0.003,256,0.986,74,0.168,13,0.234,18,0.005,351,-0.002,-95,0,0,0.002,95
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Machinery,5.515,1176,1366.136,291,202.581,43,143.732,31,1.567,507,3.948,669,3.948,669,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,Misc manufactured,1.679,267,421.271,67,68.531,11,62.844,10,0.951,170,0.728,97,0.728,97,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,"Motor Vehicles, etc.",12.359,895,2241.578,162,653.553,47,571.185,41,4.652,302,7.707,593,7.707,593,0,0
Marine Drive EB I-5,Rivergate to I-5,45.60615,-122.6846,"Wood, Paper, etc.",1.131,2135,254.846,481,24.081,45,29.825,56,1.446,2719,-0.315,-584,0,0,0.315,584
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Agriculture,0.729,1587,110.251,240,17.559,38,55.401,121,0.375,840,0.354,747,0.354,747,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,456.37801,-1227.58713,All Goods,70.116,17198,16158.361,3672,3343.494,825,899.504,459,17.055,6166,53.061,11032,53.061,11032,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Chemical,0.213,363,37.619,64,6.041,10,19.83,34,0.073,129,0.14,234,0.14,234,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Coal, Oil, Waste, etc.",1.486,2912,340.263,667,63.782,125,45.346,89,0.732,1377,0.754,1535,0.754,1535,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Electronics,18.07,641,3703.743,131,1281.824,45,141.847,5,1.833,93,16.237,548,16.237,548,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Food,7.777,4765,1527.247,936,459.505,282,146.835,90,1.688,1020,6.089,3745,6.089,3745,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Gravel, Sand, etc.",0,30,0.1,8,0,0,0,0,0,0,0,30,0,30,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Machinery,9.715,2071,1974.3,421,395.759,84,124.993,27,4.041,1306,5.674,765,5.674,765,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Misc manufactured,3.06,486,509.205,81,161.975,26,83.977,13,0.855,153,2.205,333,2.205,333,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Motor Vehicles, etc.",27.833,2016,7653.337,554,877.307,64,247.871,18,7.035,456,20.798,1560,20.798,1560,0,0
Marine Drive EB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Wood, Paper, etc.",1.232,2325,302.294,571,79.741,151,33.403,63,0.422,793,0.81,1532,0.81,1532,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Agriculture,0.857,1866,155.167,338,27.291,59,55.832,122,0.513,1148,0.344,718,0.344,718,0,0
Marine Drive WB I-5,Rivergate to I-5,456.06213,-1226.841,All Goods,69.296,21976,14098.823,4302,3611.99,1128,1087.487,702,27.95,17166,41.346,4810,41.346,4810,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Chemical,0.305,519,42.768,73,6.125,10,22.186,38,0.224,395,0.081,124,0.081,124,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,"Coal, Oil, Waste, etc.",3.184,6241,591.499,1159,187.575,368,130.027,255,3.914,7357,-0.73,-1116,0,0,0.73,1116
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Electronics,18.364,652,3234.194,115,1427.317,51,161.224,6,4.71,239,13.654,413,13.654,413,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Food,8.326,5102,1504.848,922,480.15,294,183.776,113,4.114,2485,4.212,2617,4.212,2617,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,"Gravel, Sand, etc.",0.006,478,1.463,109,0,0,0.351,26,0.003,209,0.003,269,0.003,269,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Machinery,9.444,2014,1618.031,345,516.467,110,160.873,34,4.431,1433,5.013,581,5.013,581,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,Misc manufactured,3.109,494,471.581,75,135.659,22,83.977,13,1.575,282,1.534,212,1.534,212,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,"Motor Vehicles, etc.",24.185,1752,6095.74,442,746.716,54,247.871,18,6.776,439,17.409,1313,17.409,1313,0,0
Marine Drive WB I-5,Rivergate to I-5,45.606213,-122.6841,"Wood, Paper, etc.",1.515,2859,383.532,724,84.689,160,41.372,78,1.691,3178,-0.176,-319,0,0,0.176,319
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Agriculture,6.63,14428,1574.879,3427,352.687,768,198.906,433,2.29,5130,4.34,9298,4.34,9298,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,456.37801,-1227.58713,All Goods,47.295,28365,9344.428,6331,2371.702,1492,1407.708,909,12.001,9295,35.294,19070,35.294,19070,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Chemical,0.141,240,23.295,40,4.24,7,8.799,15,0.009,17,0.132,223,0.132,223,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Coal, Oil, Waste, etc.",1.695,3323,343.609,673,94.623,185,75.832,149,0.697,1310,0.998,2013,0.998,2013,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Electronics,7.618,270,664.78,24,316.622,11,55.963,2,0.294,15,7.324,255,7.324,255,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Food,9.335,5720,1849.68,1133,595.521,365,291.375,179,2.888,1745,6.447,3975,6.447,3975,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Gravel, Sand, etc.",0,15,0.119,9,0.084,6,0,0,0.001,55,-0.001,-40,0,0,0.001,40
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Machinery,5.534,1180,1505.881,321,201.694,43,128.131,27,0.658,213,4.876,967,4.876,967,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,Misc manufactured,1.373,218,320.455,51,56.141,9,48.578,8,0.159,29,1.214,189,1.214,189,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Motor Vehicles, etc.",13.929,1009,2824.104,205,726.152,53,570.854,41,4.753,308,9.176,701,9.176,701,0,0
Marine Drive WB Ledbetter,Rivergate to I-5,45.637801,-122.758713,"Wood, Paper, etc.",1.039,1962,237.625,449,23.939,45,29.269,55,0.252,474,0.787,1488,0.787,1488,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Agriculture,1.354,2946,303.919,661,106.85,233,45.327,99,0.337,756,1.017,2190,1.017,2190,0,0
OR 99E NB,Rivergate to I-5,455.84635,-1226.62929,All Goods,16.606,7862,3130.912,1651,974.349,569,709.321,276,8.507,4671,8.099,3191,8.099,3191,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Chemical,0.138,234,28.617,49,4.345,7,0.587,1,0.116,205,0.022,29,0.022,29,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,"Coal, Oil, Waste, etc.",0.436,855,84.432,165,54.606,107,18.102,35,0.632,1188,-0.196,-333,0,0,0.196,333
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Electronics,2.16,77,52.903,2,63.075,2,19.387,1,1.467,74,0.693,3,0.693,3,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Food,2.954,1810,556.032,341,174.124,107,106.2,65,2.03,1226,0.924,584,0.924,584,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,"Gravel, Sand, etc.",0.003,228,0.724,54,0.143,11,0.172,13,0.005,334,-0.002,-106,0,0,0.002,106
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Machinery,1.885,402,529.178,113,144.431,31,93.593,20,0.711,230,1.174,172,1.174,172,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,Misc manufactured,0.73,116,156.994,25,67.292,11,14.266,2,0.622,111,0.108,5,0.108,5,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,"Motor Vehicles, etc.",6.566,476,1341.952,97,340.384,25,405.906,29,2.378,154,4.188,322,4.188,322,0,0
OR 99E NB,Rivergate to I-5,45.584635,-122.662929,"Wood, Paper, etc.",0.381,719,76.162,144,19.099,36,5.782,11,0.209,393,0.172,326,0.172,326,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Agriculture,0.206,448,28.579,62,6.017,13,0.431,1,0.047,106,0.159,342,0.159,342,0,0
OR 99E SB,Rivergate to I-5,455.84635,-1226.62929,All Goods,16.148,7573,3156.689,1553,966.928,446,184.278,80,8.295,5485,7.853,2088,7.853,2088,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Chemical,0.086,147,27.604,47,6.784,12,2.356,4,0.049,87,0.037,60,0.037,60,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,"Coal, Oil, Waste, etc.",1.4,2743,302.292,592,75.915,149,15.466,30,1.404,2640,-0.004,103,0,103,0.004,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Electronics,5.1,181,658.45,23,384.498,14,1.057,0,1.577,80,3.523,101,3.523,101,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Food,2.401,1471,507.881,311,148.395,91,61.422,38,1.222,738,1.179,733,1.179,733,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,"Gravel, Sand, etc.",0.011,859,1.894,142,1.115,83,0,0,0.008,617,0.003,242,0.003,242,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Machinery,3.407,726,528.135,113,249.684,53,0,0,1.241,401,2.166,325,2.166,325,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,Misc manufactured,0.525,83,166.592,26,7.667,1,0,0,0.494,89,0.031,-6,0.031,0,0,6
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,"Motor Vehicles, etc.",2.628,190,842.71,61,73.495,5,103.542,8,1.931,125,0.697,65,0.697,65,0,0
OR 99E SB,Rivergate to I-5,45.584635,-122.662929,"Wood, Paper, etc.",0.383,723,92.552,175,13.357,25,0.004,0,0.32,602,0.063,121,0.063,121,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Agriculture,0.386,841,34.892,76,42.344,92,0,0,0.378,847,0.008,-6,0.008,0,0,6
I-205 EB Stafford,Tigard to Wilsonville,453.71176,-1227.25573,All Goods,32.008,17376,6463.052,3380,2207.664,1367,458.914,219,19.091,13344,12.917,4032,12.917,4032,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Chemical,0.596,1014,98.221,167,39.78,68,4.472,8,0.322,568,0.274,446,0.274,446,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,"Coal, Oil, Waste, etc.",2.103,4122,366.537,718,201.825,396,24.606,48,1.696,3189,0.407,933,0.407,933,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Electronics,11.163,396,2522.941,90,641.958,23,281.955,10,3.639,185,7.524,211,7.524,211,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Food,4.671,2862,887.268,544,387.624,238,0,0,3.436,2076,1.235,786,1.235,786,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,"Gravel, Sand, etc.",0.042,3167,12.528,937,1.986,149,1.015,76,0.029,2111,0.013,1056,0.013,1056,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Machinery,4.844,1033,897.17,191,295.553,63,70.547,15,1.702,550,3.142,483,3.142,483,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,Misc manufactured,4.776,759,894.251,142,400.05,64,47.19,8,2.817,505,1.959,254,1.959,254,0,0
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,"Motor Vehicles, etc.",1.81,131,495.411,36,52.569,4,0,0,3.427,222,-1.617,-91,0,0,1.617,91
I-205 EB Stafford,Tigard to Wilsonville,45.371176,-122.725573,"Wood, Paper, etc.",1.617,3053,253.831,479,143.975,272,29.131,55,1.644,3092,-0.027,-39,0,0,0.027,39
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Agriculture,0.297,646,77.659,169,12.272,27,0.482,1,0.282,631,0.015,15,0.015,15,0,0
I-205 WB Stafford,Tigard to Wilsonville,453.75397,-1227.21627,All Goods,32.729,17211,6412.573,3470,2571.197,1277,359.558,308,17.775,15163,14.954,2048,14.954,2048,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Chemical,0.403,685,72.989,124,35.769,61,2.098,4,0.421,743,-0.018,-58,0,0,0.018,58
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,"Coal, Oil, Waste, etc.",2.356,4618,526.137,1031,150.274,295,47.952,94,1.747,3284,0.609,1334,0.609,1334,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Electronics,14.33,508,3052.53,108,1227.277,44,97.703,3,4.604,234,9.726,274,9.726,274,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Food,4.03,2469,1010.942,619,280.624,172,97.97,60,3.373,2038,0.657,431,0.657,431,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,"Gravel, Sand, etc.",0.047,3512,9.754,730,3.829,286,0.999,75,0.048,3495,-0.001,17,0,17,0.001,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Machinery,3.54,755,638.523,136,254.682,54,24.392,5,1.526,493,2.014,262,2.014,262,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,Misc manufactured,2.99,475,220.196,35,319.719,51,42.144,7,2.492,447,0.498,28,0.498,28,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,"Motor Vehicles, etc.",2.974,215,551.278,40,139.501,10,14.832,1,1.306,85,1.668,130,1.668,130,0,0
I-205 WB Stafford,Tigard to Wilsonville,45.375397,-122.721627,"Wood, Paper, etc.",1.762,3326,252.565,477,147.25,278,30.985,58,1.976,3714,-0.214,-388,0,0,0.214,388
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Agriculture,7.37,16040,1247.327,2715,403.833,879,333.424,726,3.653,8182,3.717,7858,3.717,7858,0,0
I-5 NB I-205,Tigard to Wilsonville,453.47776,-1227.628,All Goods,145.775,84913,21036.995,12770,8984.368,5484,9918.874,4501,94.193,66961,51.582,17952,51.582,17952,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Chemical,5.774,9828,1184.943,2017,286.668,488,310.916,529,4.195,7397,1.579,2431,1.579,2431,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,"Coal, Oil, Waste, etc.",5.153,10100,695.765,1364,387.079,759,210.096,412,4.581,8611,0.572,1489,0.572,1489,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Electronics,27.337,970,4080.595,145,1863.636,66,1913.179,68,10.554,535,16.783,435,16.783,435,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Food,22.195,13599,2644.56,1620,1587.112,972,1578.444,967,18.214,11003,3.981,2596,3.981,2596,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,"Gravel, Sand, etc.",0.083,6194,14.455,1081,4.78,358,2.193,164,0.071,5228,0.012,966,0.012,966,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Machinery,26.846,5724,5085.511,1084,1248.189,266,942.165,201,11.917,3852,14.929,1872,14.929,1872,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,Misc manufactured,29.952,4760,2675.9,425,2103.565,334,3298.728,524,19.859,3559,10.093,1201,10.093,1201,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,"Motor Vehicles, etc.",12.156,881,2266.386,164,392.929,28,881.332,64,11.663,756,0.493,125,0.493,125,0,0
I-5 NB I-205,Tigard to Wilsonville,45.347776,-122.7628,"Wood, Paper, etc.",8.909,16818,1141.552,2155,706.578,1334,448.397,846,9.487,17836,-0.578,-1018,0,0,0.578,1018
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Agriculture,7.248,15774,1254.809,2731,386.802,842,340.343,741,3.479,7793,3.769,7981,3.769,7981,0,0
I-5 NB OR 217,Tigard to Wilsonville,454.14804,-1227.42657,All Goods,161.71,91154,19572.581,12011,10626.716,6003,11043.551,4995,93.62,69627,68.09,21527,68.09,21527,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Chemical,5.91,10058,1066.336,1815,321.744,548,335.677,571,4.415,7786,1.495,2272,1.495,2272,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,"Coal, Oil, Waste, etc.",7.098,13912,716.86,1405,533.468,1046,331.649,650,6.227,11706,0.871,2206,0.871,2206,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Electronics,40.394,1433,4259.156,151,3486.69,124,2443.209,87,12.596,639,27.798,794,27.798,794,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Food,22.783,13959,2246.449,1376,1490.061,913,1713.941,1050,17.676,10678,5.107,3281,5.107,3281,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,"Gravel, Sand, etc.",0.099,7382,11.996,897,7.499,561,2.487,186,0.08,5874,0.019,1508,0.019,1508,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Machinery,27.357,5833,4717.078,1006,1405.985,300,959.606,205,11.807,3817,15.55,2016,15.55,2016,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,Misc manufactured,27.923,4438,2213.598,352,1815.043,288,3372.351,536,18.502,3316,9.421,1122,9.421,1122,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,"Motor Vehicles, etc.",13.696,992,1954.573,142,465.421,34,1072.122,78,9.584,621,4.112,371,4.112,371,0,0
I-5 NB OR 217,Tigard to Wilsonville,45.414804,-122.742657,"Wood, Paper, etc.",9.202,17372,1131.725,2137,714.003,1348,472.165,891,9.253,17396,-0.051,-24,0,0,0.051,24
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Agriculture,2.535,5518,545.222,1187,147.539,321,61.48,134,1.824,4085,0.711,1433,0.711,1433,0,0
I-5 SB I-205,Tigard to Wilsonville,453.46931,-1227.69147,All Goods,196.139,89969,38487.337,16909,10577.795,5657,9796.611,3740,126.604,74497,69.535,15472,69.535,15472,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Chemical,4.887,8317,994.894,1693,322.264,548,146.971,250,3.803,6706,1.084,1611,1.084,1611,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,"Coal, Oil, Waste, etc.",8.567,16791,1863.791,3653,513.335,1006,325.124,637,8.661,16281,-0.094,510,0,510,0.094,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Electronics,38.088,1351,9179.623,326,1531.444,54,1574.727,56,18.348,931,19.74,420,19.74,420,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Food,19.364,11864,3476.708,2130,1214.416,744,1036.027,635,15.158,9157,4.206,2707,4.206,2707,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,"Gravel, Sand, etc.",0.144,10801,26.127,1955,8.991,673,4.294,321,0.101,7408,0.043,3393,0.043,3393,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Machinery,29.879,6371,5937.374,1266,2066.019,441,1368.097,292,14.718,4758,15.161,1613,15.161,1613,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,Misc manufactured,37.649,5984,4949.312,787,1986.192,316,3543.417,563,26.07,4672,11.579,1312,11.579,1312,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,"Motor Vehicles, etc.",44.567,3228,9818.018,711,2042.925,148,1336.481,97,27.982,1814,16.585,1414,16.585,1414,0,0
I-5 SB I-205,Tigard to Wilsonville,45.346931,-122.769147,"Wood, Paper, etc.",10.459,19744,1696.268,3202,744.668,1406,399.993,755,9.939,18687,0.52,1057,0.52,1057,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Agriculture,2.673,5816,576.285,1254,153.891,335,68.79,150,1.829,4097,0.844,1719,0.844,1719,0,0
I-5 SB OR 217,Tigard to Wilsonville,454.14382,-1227.45316,All Goods,213.174,96266,40724.957,17924,11024.326,5596,10780.797,4317,131.305,78199,81.869,18067,81.869,18067,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Chemical,5.519,9394,1106.56,1883,334.054,569,191.781,326,4.043,7130,1.476,2264,1.476,2264,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,"Coal, Oil, Waste, etc.",10.202,19995,2080.389,4077,610.748,1197,423.812,831,10.78,20265,-0.578,-270,0,0,0.578,270
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Electronics,47.53,1686,9868.326,350,2147.937,76,1824.622,65,20.148,1022,27.382,664,27.382,664,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Food,20.115,12325,3431.737,2103,1117.878,685,1184.491,726,14.451,8730,5.664,3595,5.664,3595,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,"Gravel, Sand, etc.",0.134,10015,22.985,1720,6.976,522,4.255,318,0.093,6806,0.041,3209,0.041,3209,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Machinery,35.419,7552,6847.729,1460,2225.571,475,1665.447,355,17.406,5627,18.013,1925,18.013,1925,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,Misc manufactured,37.971,6035,5377.238,855,1698.488,270,3633.26,577,24.86,4455,13.111,1580,13.111,1580,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,"Motor Vehicles, etc.",42.834,3103,9543.586,691,2029.046,147,1321.648,96,27.987,1814,14.847,1289,14.847,1289,0,0
I-5 SB OR 217,Tigard to Wilsonville,45.414382,-122.745316,"Wood, Paper, etc.",10.777,20345,1870.12,3530,699.738,1321,462.691,873,9.709,18253,1.068,2092,1.068,2092,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Agriculture,0.133,290,24.582,53,8.037,17,0.025,0,0.084,189,0.049,101,0.049,101,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,453.82437,-1227.55966,All Goods,18.678,13461,2551.914,1811,918.297,910,695.618,380,9.701,9198,8.977,4263,8.977,4263,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Chemical,0.438,746,37.439,64,23.659,40,10.522,18,0.327,576,0.111,170,0.111,170,0,0
