"Freight Flows","Corridor","Lat","Long","Grouping","Daily $M","Daily Tons","AM Peak (7:00-8:59am) $K","AM Peak (7:00-8:59am) Tons","MD 1HR (1:00-1:59pm) $K","MD 1HR (1:00-1:59pm) Tons","PM Peak (4:00-5:59pm) $K","PM Peak (4:00-5:59pm) Tons"
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Agriculture",0.112,252,16.068,36,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",455.3770547,-1229.04527,"All Goods",2.397,1917,763.591,478,47.429,32,0.093,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Chemical",0.627,1105,142.311,251,5.722,10,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Coal, Oil, Waste, etc.",0.047,89,18.62,35,9.14,17,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Electronics",1.165,59,453.493,23,23.486,1,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Food",0.028,17,0,0,2.672,2,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Gravel, Sand, etc.",0,24,0,0,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Machinery",0.189,61,50.026,16,6.311,2,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Misc manufactured",0.07,12,23.077,4,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
"NE Cornell Road EB","Beaverton to Hillsboro",45.53770547,-122.904527,"Wood, Paper, etc.",0.158,298,59.996,113,0.098,0,0.093,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Agriculture",0.002,4,1.324,3,0.047,0,0,0
"NE Cornell Road WB","Beaverton to Hillsboro",455.3847768,-1229.051624,"All Goods",8.5,5366,2073.891,1190,235.143,215,452.405,167
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Chemical",0.755,1332,170.052,300,30.663,54,1.681,3
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Coal, Oil, Waste, etc.",0.864,1625,182.164,342,44,83,35.907,68
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Electronics",1.102,56,234.178,12,0.986,0,207.163,11
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Food",0.32,193,24.83,15,8.167,5,0,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Gravel, Sand, etc.",0.003,210,0.722,53,0.317,23,0.256,19
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Machinery",4.689,1516,1195.38,386,143.716,46,207.228,67
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Misc manufactured",0.089,16,0,0,5.728,1,0,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Motor Vehicles, etc.",0.471,31,231.362,15,0,0,0,0
"NE Cornell Road WB","Beaverton to Hillsboro",45.53847768,-122.9051624,"Wood, Paper, etc.",0.204,384,33.881,64,1.52,3,0.17,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Agriculture",0.044,99,22.1,50,5.357,12,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",455.4931905,-1229.092502,"All Goods",4.058,462,990.556,127,503.09,52,167.329,29
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Chemical",0.071,125,9.669,17,8.506,15,11.988,21
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Coal, Oil, Waste, etc.",0,0,0,0,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Electronics",3.774,191,879.92,45,489.206,25,155.261,8
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Food",0.023,14,0,0,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Machinery",0.036,12,8.728,3,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Misc manufactured",0.109,19,69.748,12,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
"NE Evergreen Road EB","Beaverton to Hillsboro",45.54931905,-122.9092502,"Wood, Paper, etc.",0.001,1,0.391,1,0.02,0,0.08,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Agriculture",0.001,2,0,0,0,0,0.753,2
"NE Evergreen Road WB","Beaverton to Hillsboro",455.5012141,-1229.086534,"All Goods",7.438,3143,1303.33,675,160.879,163,530.561,110
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Chemical",1.27,2240,297.173,524,82.016,145,37.195,66
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Coal, Oil, Waste, etc.",0.057,107,13.484,25,0.044,0,0.026,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Electronics",4.331,220,728.15,37,0,0,440.4,22
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Food",0.09,54,12.415,8,0,0,12.415,8
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Machinery",1.505,487,252.107,82,22.544,7,39.772,13
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Misc manufactured",0.167,30,0,0,55.798,10,0,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Motor Vehicles, etc.",0.016,1,0,0,0,0,0,0
"NE Evergreen Road WB","Beaverton to Hillsboro",45.55012141,-122.9086534,"Wood, Paper, etc.",0.001,2,0,0,0.476,1,0,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Agriculture",1.961,4392,386.396,865,99.747,223,44.722,100
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",455.5773246,-1228.995678,"All Goods",5.396,8224,1060.847,1698,327.592,476,139.296,201
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Chemical",1.098,1937,186.13,328,52.935,93,32.749,58
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Coal, Oil, Waste, etc.",0.665,1251,195.422,367,65.019,122,20.576,39
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Electronics",0.527,27,83.353,4,40.37,2,39.658,2
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Food",0.191,116,33.107,20,0,0,0,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Gravel, Sand, etc.",0,15,0,0,0.103,8,0,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Machinery",0.647,209,140.284,45,65.757,21,0.056,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Misc manufactured",0.174,31,0,0,0,0,0,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Motor Vehicles, etc.",0.001,0,0.162,0,0.162,0,0.162,0
"NW Cornelius Pass Road NB US 26","Beaverton to Hillsboro",45.55773246,-122.8995678,"Wood, Paper, etc.",0.132,247,35.994,68,3.499,7,1.374,3
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Agriculture",0.196,439,27.157,61,3.351,8,0.017,0
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",455.5834005,-1229.00362,"All Goods",8.847,8153,2077.206,1713,392.828,357,194.224,183
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Chemical",2.453,4326,542.223,956,135.173,238,38.481,68
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Coal, Oil, Waste, etc.",0.605,1138,119.676,225,10.746,20,36.599,69
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Electronics",0.416,21,162.472,8,1.495,0,0,0
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Food",0.589,356,124.474,75,37.242,22,0,0
"NW Cornelius Pass Road SB US 26","Beaverton to Hillsboro",45.55834005,-122.900362,"Gravel, Sand, etc.",0.009,630,1.057,77,0.252,18,0.308,22
