Freight Flows,Corridor,Lat,Long,Grouping,Daily $M,Daily Tons,AM Peak (7:00-8:59am) $K,AM Peak (7:00-8:59am) Tons,MD 1HR (1:00-1:59pm) $K,MD 1HR (1:00-1:59pm) Tons,PM Peak (4:00-5:59pm) $K,PM Peak (4:00-5:59pm) Tons
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Agriculture,0.113,253,15.898,36,9.567,21,0,0
NE Cornell Road EB,Beaverton to Hillsboro,455.3770547,-1229.04527,All Goods,2.641,1985,847.719,497,87.531,54,0.093,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Chemical,0.641,1131,144.256,254,5.722,10,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Coal, Oil, Waste, etc.",0.053,100,18.62,35,9.14,17,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Electronics,1.318,67,453.493,23,56.756,3,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Food,0.025,15,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Gravel, Sand, etc.",0.001,38,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Machinery,0.188,61,50.252,16,6.311,2,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,Misc manufactured,0.146,26,104.622,19,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
NE Cornell Road EB,Beaverton to Hillsboro,45.53770547,-122.904527,"Wood, Paper, etc.",0.157,296,60.578,114,0.035,0,0.093,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Agriculture,0.002,5,1.327,3,0.047,0,0.233,1
NE Cornell Road WB,Beaverton to Hillsboro,455.3847768,-1229.051624,All Goods,8.198,4408,1967.801,971,220.454,171,544.335,120
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Chemical,0.746,1315,152.887,270,37.958,67,1.681,3
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Coal, Oil, Waste, etc.",0.376,707,82.141,154,10.495,20,9.974,19
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Electronics,1.304,66,263.114,13,0.986,0,343.521,17
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Food,0.374,226,37.245,22,17.903,11,3.844,2
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Gravel, Sand, etc.",0.003,210,0.722,53,0.317,23,0.256,19
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Machinery,4.658,1506,1165.02,377,145.98,47,184.821,60
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,Misc manufactured,0.089,16,0,0,5.728,1,0,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Motor Vehicles, etc.",0.471,31,231.362,15,0,0,0,0
NE Cornell Road WB,Beaverton to Hillsboro,45.53847768,-122.9051624,"Wood, Paper, etc.",0.174,327,33.983,64,1.041,2,0.004,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Agriculture,0.039,87,22.1,50,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,455.4931905,-1229.092502,All Goods,4.004,447,987.693,127,475.895,39,167.329,29
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Chemical,0.071,125,9.669,17,8.506,15,11.988,21
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Coal, Oil, Waste, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Electronics,3.726,189,877.057,44,467.369,24,155.261,8
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Food,0.023,14,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Machinery,0.036,12,8.728,3,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,Misc manufactured,0.109,19,69.748,12,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road EB,Beaverton to Hillsboro,45.54931905,-122.9092502,"Wood, Paper, etc.",0,1,0.391,1,0.02,0,0.08,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Agriculture,0.001,1,0,0,0,0,0.52,1
NE Evergreen Road WB,Beaverton to Hillsboro,455.5012141,-1229.086534,All Goods,7.119,3076,1187.012,645,160.713,163,390.126,100
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Chemical,1.253,2210,294.602,520,82.016,145,37.195,66
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Coal, Oil, Waste, etc.",0.06,113,12.679,24,0.044,0,0.026,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Electronics,4.095,208,671.284,34,0,0,304.042,15
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Food,0.066,40,0,0,0,0,8.571,5
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Machinery,1.459,472,208.447,67,22.544,7,39.772,13
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,Misc manufactured,0.167,30,0,0,55.798,10,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Motor Vehicles, etc.",0.016,1,0,0,0,0,0,0
NE Evergreen Road WB,Beaverton to Hillsboro,45.55012141,-122.9086534,"Wood, Paper, etc.",0.001,2,0,0,0.31,1,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Agriculture,1.988,4452,392.622,879,104.107,233,40.257,90
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,455.5773246,-1228.995678,All Goods,5.51,8395,1080.816,1735,342.548,505,134.832,191
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Chemical,1.089,1920,183.373,323,52.935,93,32.749,58
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Coal, Oil, Waste, etc.",0.722,1358,202.784,381,74.976,141,20.576,39
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Electronics,0.528,27,83.551,4,41.007,2,39.658,2
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Food,0.195,118,42.847,26,0,0,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Gravel, Sand, etc.",0,23,0.103,8,0.103,8,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Machinery,0.673,217,139.211,45,65.757,21,0.056,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,Misc manufactured,0.183,33,0,0,0,0,0,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Motor Vehicles, etc.",0.001,0,0.162,0,0.162,0,0.162,0
NW Cornelius Pass Road NB US 26,Beaverton to Hillsboro,45.55773246,-122.8995678,"Wood, Paper, etc.",0.132,248,36.164,68,3.502,7,1.374,3
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Agriculture,0.184,411,21.509,48,3.351,8,0.017,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,455.5834005,-1229.00362,All Goods,9.105,8184,1986.417,1628,410.416,377,198.214,191
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Chemical,2.437,4298,518.205,914,143.025,252,38.481,68
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Coal, Oil, Waste, etc.",0.625,1175,106.067,199,10.746,20,40.588,76
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Electronics,0.653,33,179.249,9,1.495,0,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Food,0.604,365,132.678,80,46.978,28,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Gravel, Sand, etc.",0.009,645,1.057,77,0.252,18,0.308,22
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Machinery,2.596,839,591.082,191,111.885,36,15.467,5
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,Misc manufactured,0.588,105,90.472,16,61.526,11,103.158,18
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Motor Vehicles, etc.",1.288,84,307.401,20,30.848,2,0,0
NW Cornelius Pass Road SB US 26,Beaverton to Hillsboro,45.55834005,-122.900362,"Wood, Paper, etc.",0.122,229,38.697,73,0.31,1,0.196,0
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Agriculture,1.298,2907,258.985,580,59.285,133,12.406,28
US-26 EB Cedar Hills,Beaverton to Hillsboro,455.17317,-1228.05484,All Goods,21.1,17363,4386.454,3766,727.625,1038,715.18,485
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Chemical,0.32,565,86.43,152,30.424,54,7.088,12
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Coal, Oil, Waste, etc.",4.14,7782,997.745,1876,264.965,498,120.107,226
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Electronics,8.406,426,1616.897,82,138.902,7,166.598,8
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Food,0.938,567,102.304,62,57.741,35,16.259,10
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Gravel, Sand, etc.",0.021,1505,3.683,269,0.966,71,0.526,38
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Machinery,1.246,403,232.761,75,21.197,7,32.123,10
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,Misc manufactured,1.157,207,380.266,68,0,0,0,0
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Motor Vehicles, etc.",2.048,133,401.248,26,30.848,2,289.202,19
US-26 EB Cedar Hills,Beaverton to Hillsboro,45.517317,-122.805484,"Wood, Paper, etc.",1.526,2868,306.135,576,123.296,232,70.87,133
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Agriculture,2.233,5002,449.062,1006,110.654,248,42.363,95
US-26 EB Helvetia,Beaverton to Hillsboro,455.58101,-1229.14773,All Goods,8.394,10130,1134.312,1772,381.386,655,146.396,281
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Chemical,0.735,1297,101.15,178,67.147,118,37.879,67
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Coal, Oil, Waste, etc.",0.329,619,62.267,117,27.248,51,21.066,40
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Electronics,1.724,87,32.038,2,36.356,2,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Food,0.806,487,112.559,68,37.669,23,16.259,10
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Gravel, Sand, etc.",0.01,704,1.485,109,0.862,63,0.219,16
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Machinery,0.85,275,154.641,50,25.964,8,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,Misc manufactured,0.779,140,101.553,18,0,0,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Motor Vehicles, etc.",0.124,8,0,0,0,0,0,0
US-26 EB Helvetia,Beaverton to Hillsboro,45.558101,-122.914773,"Wood, Paper, etc.",0.804,1512,119.557,225,75.485,142,28.611,54
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Agriculture,0.184,412,41.917,94,2.431,5,14.413,32
US-26 WB Cedar Hills,Beaverton to Hillsboro,455.19151,-1228.05012,All Goods,19.003,11947,4475.766,2728,560.154,616,1399.905,568
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Chemical,0.742,1308,224.834,396,32.104,57,15.253,27
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Coal, Oil, Waste, etc.",1.594,2997,323.515,608,123.978,233,57.132,107
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Electronics,7.877,400,1758.287,89,42.022,2,951.431,48
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Food,2.076,1254,531.157,321,84.383,51,111.113,67
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Gravel, Sand, etc.",0.023,1714,5.033,368,1.022,75,1.208,88
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Machinery,3.784,1223,980.939,317,161.273,52,173.925,56
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,Misc manufactured,0.541,97,81.933,15,41.849,8,0,0
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Motor Vehicles, etc.",0.86,56,261.05,17,0,0,0,0
US-26 WB Cedar Hills,Beaverton to Hillsboro,45.519151,-122.805012,"Wood, Paper, etc.",1.322,2486,267.1,502,71.091,134,75.429,142
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Agriculture,0.352,789,57.945,130,1.889,4,19.432,44
US-26 WB Helvetia,Beaverton to Hillsboro,455.60686,-1229.13143,All Goods,7.431,6714,1924.033,1464,335.278,409,301.494,339
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Chemical,0.728,1283,201.977,356,47.7,84,13.78,24
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,"Coal, Oil, Waste, etc.",0.689,1296,151.421,285,57.055,107,48.993,92
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Electronics,1.786,91,586.408,30,10.477,1,8.133,0
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Food,0.876,529,292.777,177,43.453,26,32.114,19
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,"Gravel, Sand, etc.",0.011,806,2.029,148,0.476,35,0.476,35
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Machinery,1.163,376,347.028,112,112.719,36,23.2,8
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,Misc manufactured,0.533,96,162.862,29,0,0,103.158,18
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,"Motor Vehicles, etc.",0.541,35,17.38,1,0,0,0,0
US-26 WB Helvetia,Beaverton to Hillsboro,45.560686,-122.913143,"Wood, Paper, etc.",0.752,1414,104.206,196,61.511,116,52.209,98
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Agriculture,0.159,357,34.04,76,6.79,15,9.334,21
Highway 217 NB Denney,Beaverton to Tigard,454.5294801,-1227.833533,All Goods,18.066,13222,3739.043,2879,1174.228,717,861.119,567
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Chemical,0.436,768,97.593,172,12.821,23,16.784,30
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,"Coal, Oil, Waste, etc.",2,3759,443.464,834,126.457,238,74.458,140
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Electronics,4.239,215,699.963,36,212.189,11,302.883,15
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Food,2.148,1298,454.778,275,110.554,67,132.225,80
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,"Gravel, Sand, etc.",0.028,2030,6.554,480,0.868,64,1.222,89
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Machinery,5.792,1872,1373.565,444,332.372,107,268.148,87
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,Misc manufactured,0.614,110,65.662,12,104.622,19,0,0
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,"Motor Vehicles, etc.",1.196,78,279.914,18,181.434,12,0,0
Highway 217 NB Denney,Beaverton to Tigard,45.45294801,-122.7833533,"Wood, Paper, etc.",1.455,2735,283.509,533,86.122,162,56.064,105
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Agriculture,0.124,278,19.64,44,0,0,8.371,19
Highway 217 NB OR 99W,Beaverton to Tigard,454.2746919,-1227.523857,All Goods,12.545,9115,2229.967,1752,624.774,503,604.712,412
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Chemical,0.309,544,68.174,120,7.484,13,12.531,22
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,"Coal, Oil, Waste, etc.",0.772,1452,157.13,295,62.316,117,28.726,54
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Electronics,2.749,139,374.204,19,43.031,2,152.797,8
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Food,1.552,938,333.407,201,99.32,60,98.824,60
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,"Gravel, Sand, etc.",0.022,1602,3.966,290,0.94,69,1.115,82
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Machinery,4.654,1505,911.769,295,252.593,82,256.935,83
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,Misc manufactured,0.272,49,32.831,6,82.044,15,0,0
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,"Motor Vehicles, etc.",0.728,47,75.293,5,0,0,0,0
Highway 217 NB OR 99W,Beaverton to Tigard,45.42746919,-122.7523857,"Wood, Paper, etc.",1.362,2561,253.552,477,77.044,145,45.413,85
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Agriculture,0.604,1353,93.517,209,44.962,101,7.268,16
Highway 217 SB Denney,Beaverton to Tigard,454.5187804,-1227.854972,All Goods,14.871,13813,2659.992,2600,1038.75,768,301.004,282
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Chemical,0.276,486,46.852,83,13.61,24,0,0
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,"Coal, Oil, Waste, etc.",2.721,5116,543.274,1021,140.07,263,36.363,68
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Electronics,6.035,306,1032.198,52,507.01,26,96.361,5
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Food,1.171,708,195.108,118,59.575,36,33.401,20
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,"Gravel, Sand, etc.",0.028,2017,5.259,385,1.436,105,0.41,30
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Machinery,0.748,242,136.677,44,20.507,7,62.462,20
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,Misc manufactured,0.613,110,137.174,25,0,0,0,0
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,"Motor Vehicles, etc.",0.855,55,121.602,8,146.529,10,0,0
Highway 217 SB Denney,Beaverton to Tigard,45.45187804,-122.7854972,"Wood, Paper, etc.",1.819,3421,348.331,655,105.053,198,64.74,122
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Agriculture,0.379,850,74.009,166,18.325,41,4.186,9
Highway 217 SB OR 99W,Beaverton to Tigard,454.2486372,-1227.506864,All Goods,11.469,11380,2272.731,2160,701.144,605,186.08,240
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Chemical,0.178,313,29.407,52,13.61,24,0,0
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,"Coal, Oil, Waste, etc.",2.204,4143,426.303,801,111.539,210,18.979,36
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Electronics,4.64,235,1009.156,51,384.465,20,21.998,1
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Food,0.912,551,184.996,112,33.612,20,37.245,22
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,"Gravel, Sand, etc.",0.03,2207,5.177,379,1.627,119,0.748,55
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Machinery,0.589,190,107.663,35,20.507,7,49.493,16
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,Misc manufactured,0.61,109,115.258,21,0,0,0,0
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,"Motor Vehicles, etc.",0.464,30,32.418,2,30.848,2,0,0
Highway 217 SB OR 99W,Beaverton to Tigard,45.42486372,-122.7506864,"Wood, Paper, etc.",1.463,2751,288.343,542,86.61,163,53.431,100
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Agriculture,0,0,0.156,0,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,454.5788511,-1228.255708,All Goods,0.447,194,157.287,57,87.237,17,3.989,8
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Chemical,0,0,0,0,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,"Coal, Oil, Waste, etc.",0.052,98,10.639,20,6.649,12,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Electronics,0.315,16,120.805,6,80.588,4,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Food,0,0,0,0,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,"Gravel, Sand, etc.",0.001,45,0.342,25,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Machinery,0.046,15,0,0,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,Misc manufactured,0,0,0,0,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,"Motor Vehicles, etc.",0.023,2,23.357,2,0,0,0,0
Murray Blvd. NB Hart,Beaverton to Tigard,45.45788511,-122.8255708,"Wood, Paper, etc.",0.01,19,1.988,4,0,0,3.989,8
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Agriculture,0.03,68,0,0,6.697,15,6.697,15
Murray Blvd. NB US 26,Beaverton to Tigard,455.1640882,-1228.171955,All Goods,0.307,429,119.898,159,27.11,34,14.675,30
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Chemical,0.005,9,3.402,6,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,"Coal, Oil, Waste, etc.",0.053,100,42.122,79,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Electronics,0.011,1,8.977,0,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Food,0.043,26,2.507,2,15.094,9,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,"Gravel, Sand, etc.",0,9,0,0,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Machinery,0.06,19,29.619,10,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,Misc manufactured,0,0,0,0,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
Murray Blvd. NB US 26,Beaverton to Tigard,45.51640882,-122.8171955,"Wood, Paper, etc.",0.105,197,33.271,63,5.319,10,7.978,15
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Agriculture,0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,454.5790553,-1228.265706,All Goods,0.061,99,18.156,30,4.627,8,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Chemical,0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,"Coal, Oil, Waste, etc.",0.024,45,11.969,22,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Electronics,0.008,0,2.078,0,0.638,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Food,0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,"Gravel, Sand, etc.",0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Machinery,0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,Misc manufactured,0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,"Motor Vehicles, etc.",0,0,0,0,0,0,0,0
Murray Blvd. SB Hart,Beaverton to Tigard,45.45790553,-122.8265706,"Wood, Paper, etc.",0.029,54,4.109,8,3.989,8,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Agriculture,0.006,14,2.803,6,0,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,455.1686004,-1228.180879,All Goods,1.665,1203,339.158,227,36.834,40,317.838,57
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Chemical,0.006,10,4.295,8,0,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,"Coal, Oil, Waste, etc.",0.369,694,68.489,129,15.777,30,22.102,42
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Electronics,0.826,42,184.624,9,0,0,295.736,15
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Food,0.243,147,66.419,40,16.1,10,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,"Gravel, Sand, etc.",0.002,135,0.164,12,0,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Machinery,0.149,48,0,0,0,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,Misc manufactured,0,0,0,0,0,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,"Motor Vehicles, etc.",0.005,0,0,0,4.936,0,0,0
Murray Blvd. SB US 26,Beaverton to Tigard,45.51686004,-122.8180879,"Wood, Paper, etc.",0.06,113,12.364,23,0.02,0,0,0
OR 212 EB 122nd Ave.,Clackamas to Damascus,45.40734718,-122.5487965,Agriculture,0.11,247,55.199,124,0.14,0,8.483,19
OR 212 EB 122nd Ave.,Clackamas to Damascus,454.0734718,-1225.487965,All Goods,2.676,2160,1270.678,966,11.621,30,36.103,36
