"Freight Flows","Corridor","Lat","Long","Grouping","Daily$","DailyTons"
"I-5 SB Fremont","Portland Central City to Vancouver",455.51076,-1226.79786,"All Goods",53569563,30133
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Chemical",2679631,3712
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Coal, Oil, Waste, etc.",5386593,10690
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Electronics",12817283,524
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Food",7444975,4320
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Gravel, Sand, etc.",16247,1208
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Machinery",7071739,2614
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Misc manufactured",5018638,691
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Motor Vehicles, etc.",9865473,646
"I-5 SB Fremont","Portland Central City to Vancouver",45.551076,-122.679786,"Wood, Paper, etc.",2906547,4895
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Agriculture",228743,526
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",456.07396,-1226.81931,"All Goods",30850971,17130
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Chemical",769544,1066
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Coal, Oil, Waste, etc.",2186303,4339
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Electronics",11246866,460
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Food",5470903,3174
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Gravel, Sand, etc.",9664,718
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Machinery",3410033,1261
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Misc manufactured",3978318,548
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Motor Vehicles, etc.",581787,38
"I-5 SB Jantzen Beach","Portland Central City to Vancouver",45.607396,-122.681931,"Wood, Paper, etc.",2968810,5000
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Agriculture",334036,768
"I-5 SB Lombard","Portland Central City to Vancouver",455.8028,-1226.79272,"All Goods",39082820,20848
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Chemical",786230,1089
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Coal, Oil, Waste, etc.",3147660,6247
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Electronics",11838665,484
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Food",6593606,3826
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Gravel, Sand, etc.",14745,1096
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Machinery",4724561,1746
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Misc manufactured",4746309,653
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Motor Vehicles, etc.",4125503,270
"I-5 SB Lombard","Portland Central City to Vancouver",45.58028,-122.679272,"Wood, Paper, etc.",2771505,4668
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Agriculture",120719,278
"Col Blvd EB Chimney Park","Rivergate to I-5",456.10041,-1227.60483,"All Goods",21692117,11006
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Chemical",3087018,4276
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Coal, Oil, Waste, etc.",1256086,2493
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Electronics",1988253,81
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Food",1252144,727
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Gravel, Sand, etc.",1412,105
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Machinery",6232490,2304
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Misc manufactured",252256,35
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Motor Vehicles, etc.",7367586,482
"Col Blvd EB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Wood, Paper, etc.",134154,226
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Agriculture",28257,65
"Col Blvd EB Interstate","Rivergate to I-5",455.86977,-1226.9236,"All Goods",6961941,4120
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Chemical",862461,1195
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Coal, Oil, Waste, etc.",522482,1037
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Electronics",205104,8
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Food",453557,263
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Gravel, Sand, etc.",13,1
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Machinery",3369885,1246
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Misc manufactured",44246,6
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Motor Vehicles, etc.",1350891,88
"Col Blvd EB Interstate","Rivergate to I-5",45.586977,-122.69236,"Wood, Paper, etc.",125046,211
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Agriculture",987296,2271
"Col Blvd WB Chimney Park","Rivergate to I-5",456.10041,-1227.60483,"All Goods",12496738,11558
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Chemical",3982172,5516
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Coal, Oil, Waste, etc.",1054524,2093
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Electronics",1448498,59
